,date,open,high,low,close,volume
0,2016-03-29 09:31:00,121.66,122.26,121.66,122.26,1532
1,2016-03-29 09:36:00,121.99,122.0,121.3137,121.96,2131
2,2016-03-29 09:37:00,121.87,122.0,121.595,122.0,1300
3,2016-03-29 09:38:00,121.99,121.99,121.65,121.82,1500
4,2016-03-29 09:40:00,121.67,121.67,121.67,121.67,100
5,2016-03-29 09:41:00,121.97,121.97,121.97,121.97,100
6,2016-03-29 09:42:00,121.91,121.91,121.91,121.91,100
7,2016-03-29 09:43:00,121.94,121.94,121.94,121.94,100
8,2016-03-29 09:44:00,121.7,121.7,121.7,121.7,100
9,2016-03-29 09:45:00,121.93,121.93,121.93,121.93,200
10,2016-03-29 09:46:00,121.94,122.0,121.94,122.0,400
11,2016-03-29 09:48:00,121.99,122.0,121.95,122.0,1764
12,2016-03-29 09:49:00,122.05,122.51,121.98,122.51,2182
13,2016-03-29 09:50:00,122.56,122.72,122.56,122.72,200
14,2016-03-29 09:51:00,122.535,122.63,122.36,122.36,1600
15,2016-03-29 09:52:00,122.31,122.31,122.135,122.21,1100
16,2016-03-29 09:53:00,122.21,122.34,122.127,122.25,43561
17,2016-03-29 09:54:00,122.31,122.31,122.164,122.285,1400
18,2016-03-29 09:55:00,122.315,122.61,122.26,122.28,6098
19,2016-03-29 09:56:00,122.3,122.52,122.3,122.44,1800
20,2016-03-29 09:57:00,122.44,122.44,122.295,122.3,1800
21,2016-03-29 09:58:00,122.3,122.38,122.3,122.38,800
22,2016-03-29 10:01:00,122.42,122.48,122.385,122.46,2500
23,2016-03-29 10:03:00,122.35,122.375,122.22,122.33,3300
24,2016-03-29 10:04:00,122.33,122.34,122.33,122.34,800
25,2016-03-29 10:05:00,122.4,122.4,122.37,122.4,1000
26,2016-03-29 10:06:00,122.37,122.37,122.26,122.28,1100
27,2016-03-29 10:07:00,122.23,122.23,122.02,122.07,1400
28,2016-03-29 10:08:00,122.14,122.18,122.14,122.18,600
29,2016-03-29 10:10:00,122.16,122.16,122.16,122.16,139
30,2016-03-29 10:11:00,122.0,122.0,122.0,122.0,200
